,Real Lower Band,Real Middle Band,Real Upper Band
2021-08-12,36015.8090,42725.9621,109827.4932
2021-08-11,35120.4142,42241.5625,113453.0451
2021-08-10,34123.0671,41701.4144,117484.8876
2021-08-09,33288.6129,41090.2174,119106.2627
2021-08-08,32231.5126,40336.9669,121391.5094
2021-08-07,31428.9591,39756.2205,123028.8343
2021-08-06,30962.3817,39040.4390,119821.0117
2021-08-05,30472.1702,38436.0698,118075.0662
2021-08-04,29979.6138,37974.6036,117924.5010
2021-08-03,29585.4975,37584.2917,117572.2335
2021-08-02,29317.0662,37312.7207,117269.2651
2021-08-01,29045.6320,36920.9903,115674.5733
2021-07-31,28834.9342,36430.6352,112387.6451
2021-07-30,28819.4479,35752.0389,105077.9485
2021-07-29,29040.3147,34961.0888,94168.8295
2021-07-28,29134.4155,34349.1727,86496.7441
2021-07-27,29399.2921,33702.9449,76739.4729
2021-07-26,29836.9860,33083.5649,65549.3541
2021-07-25,29996.6148,32661.2698,59307.8192
2021-07-24,29978.6866,32407.7400,56698.2733
2021-07-23,29670.9810,32266.0481,58216.7195
2021-07-22,29487.6975,32188.7183,59198.9267
2021-07-21,29526.0827,32246.7406,59453.3195
2021-07-20,29614.8980,32324.8894,59424.8028
2021-07-19,30219.6981,32652.2660,56977.9453
2021-07-18,30462.5181,32903.8621,57317.3023
2021-07-17,30731.2368,33078.9731,56556.3365
2021-07-16,31110.7889,33293.8464,55124.4210
2021-07-15,31511.3983,33525.9757,53671.7503
2021-07-14,31634.6916,33709.4472,54457.0032
2021-07-13,31757.2245,33812.1695,54361.6194
2021-07-12,31940.4669,33928.0027,53803.3610
2021-07-11,31954.7998,34007.1013,54530.1167
2021-07-10,31685.1017,33961.9273,56730.1833
2021-07-09,31593.9080,33998.7518,58047.1891
2021-07-08,31511.1846,34013.7149,59039.0172
2021-07-07,31559.7955,34132.2310,59856.5859
2021-07-06,31081.5014,34176.9501,65131.4375
2021-07-05,30652.4435,34207.2465,69755.2767
2021-07-04,30033.7020,34318.7395,77169.1142
2021-07-03,29358.5410,34303.1010,83748.7007
2021-07-02,29146.1060,34366.9817,86575.7382
2021-07-01,29351.0123,34523.2965,86246.1379
2021-06-30,29567.9888,34724.6803,86291.5947
2021-06-29,29617.7845,34787.1332,86480.6211
2021-06-28,29552.8770,34774.0706,86986.0059
2021-06-27,29592.8147,34890.6399,87868.8923
2021-06-26,29617.0422,34982.1780,88633.5363
2021-06-25,30184.1687,35320.6041,86684.9581
2021-06-24,30986.9603,35744.3290,83318.0157
2021-06-23,31159.0077,35885.1639,83146.7250
2021-06-22,31377.6259,36146.3279,83833.3479
2021-06-21,32105.5772,36542.8697,80915.7948
2021-06-20,33267.6382,37049.3960,74866.9744
2021-06-19,33449.6062,37183.6797,74524.4148
2021-06-18,33607.9990,37329.8032,74547.8448
2021-06-17,33602.2046,37438.1310,75797.3946
2021-06-16,33480.1557,37318.4013,75700.8574
2021-06-15,33321.8526,37175.1486,75708.1080
2021-06-14,33140.1946,36856.6448,74021.1466
2021-06-13,33106.0238,36492.2525,70354.5397
2021-06-12,32912.6010,36269.2418,69835.6499
2021-06-11,32934.6474,36372.8899,70755.3140
2021-06-10,32863.6162,36307.0158,70741.0115
2021-06-09,32852.6547,36306.3869,70843.7087
2021-06-08,32418.4810,36252.8627,74596.6796
2021-06-07,33100.6359,36596.7389,71557.7689
2021-06-06,32986.3845,36968.5074,76789.7359
2021-06-05,32461.9652,37163.4727,84178.5482
2021-06-04,31557.1713,37437.3928,96239.6083
2021-06-03,30768.4107,37633.3033,106282.2299
2021-06-02,29283.8523,37649.3989,121304.8647
2021-06-01,28455.9047,37882.9444,132153.3421
2021-05-31,28090.3432,38261.4901,139972.9595
2021-05-30,26490.3542,38679.0920,160566.4703
2021-05-29,26023.3610,39346.3400,172576.1297
2021-05-28,25816.1016,40224.8169,184311.9704
2021-05-27,25812.9268,41112.9689,194113.3897
2021-05-26,25924.0839,41817.5731,200752.4656
2021-05-25,26330.3632,42536.0496,204592.9142
