,Open (USD),High (USD),Low (USD),Close (USD),Volume,Market Cap (USD),SMA,EMA,RSI,Real Lower Band,Real Middle Band,Real Upper Band,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK
2019-01-05,3790.09000000,3840.99000000,3751.00000000,3770.96000000,30490.66775100,30490.66775100,3906.6796,3772.2721,46.9823,3523.7190,3789.0249,6442.0837,-32.5566,28.7142,-61.2708,39.4600,36.4379
2019-01-06,3771.12000000,4027.71000000,3740.00000000,3987.60000000,36553.80670900,36553.80670900,3873.8658,3792.7795,53.4853,3561.4017,3808.2464,6276.6938,-12.9515,38.6555,-51.6070,41.6067,47.5400
2019-01-07,3987.62000000,4017.90000000,3921.53000000,3975.45000000,31869.84626400,31869.84626400,3840.1348,3810.1767,53.0920,3578.1157,3824.0322,6283.1967,1.5870,42.5552,-40.9682,49.4647,64.4162
2019-01-08,3976.76000000,4069.80000000,3903.00000000,3955.13000000,38901.42312200,38901.42312200,3821.0368,3823.9818,52.3980,3596.3309,3836.3471,6236.5099,11.3385,41.8453,-30.5068,63.5651,78.7391
2019-01-09,3955.45000000,4006.81000000,3930.04000000,3966.65000000,28989.43951100,28989.43951100,3809.1926,3837.5692,52.7749,3620.3854,3848.3644,6128.1551,19.7683,40.2201,-20.4518,75.3478,82.8880
2019-01-10,3966.06000000,3996.01000000,3540.00000000,3585.88000000,59402.22851000,59402.22851000,3787.6888,3813.5988,41.1716,3571.7712,3824.5130,6351.9311,-4.2272,12.9797,-17.2069,72.5347,55.9769
2019-01-11,3585.88000000,3658.00000000,3465.00000000,3601.31000000,38338.65473300,38338.65473300,3772.3150,3793.3809,41.7307,3539.8515,3803.3348,6438.1683,-21.7481,-3.6330,-18.1151,58.7228,37.3034
2019-01-12,3601.31000000,3618.19000000,3530.00000000,3583.13000000,21999.92835400,21999.92835400,3755.5654,3773.3570,41.2335,3507.9684,3782.0804,6523.2007,-36.6777,-14.8500,-21.8276,36.7301,16.9100
2019-01-13,3584.10000000,3611.10000000,3441.30000000,3476.81000000,26385.75745400,26385.75745400,3746.4528,3745.1144,38.3552,3465.6293,3752.3507,6619.5647,-56.4380,-27.6883,-28.7497,23.3734,15.9067
2019-01-14,3477.56000000,3671.87000000,3467.02000000,3626.09000000,35235.21121500,35235.21121500,3737.2590,3733.7787,44.2405,3446.5753,3739.3677,6667.2911,-59.3682,-24.4948,-34.8734,17.0038,18.1946
2019-01-15,3626.08000000,3648.42000000,3516.62000000,3553.06000000,34137.99745900,34137.99745900,3731.0762,3716.5674,42.1219,3414.3798,3719.9994,6776.1952,-66.8132,-25.5518,-41.2614,17.2375,17.6112
2019-01-16,3553.06000000,3645.00000000,3543.51000000,3591.84000000,27480.17997700,27480.17997700,3725.4088,3704.6886,43.6647,3402.3841,3705.3943,6735.4962,-68.7912,-22.0238,-46.7673,19.8393,23.7120
2019-01-17,3591.84000000,3634.70000000,3530.39000000,3616.21000000,29755.44083800,29755.44083800,3712.4360,3696.2621,44.6630,3388.0668,3692.9963,6742.2916,-67.6129,-16.6764,-50.9364,21.5038,23.1880
2019-01-18,3613.32000000,3620.00000000,3565.75000000,3594.87000000,22713.44675500,22713.44675500,3698.4166,3686.6057,43.9289,3368.9786,3679.6280,6786.1215,-67.6215,-13.3481,-54.2735,24.1018,25.4055
