,EMA
2021-08-11,40936.6544
2021-08-10,40434.3306
2021-08-09,39892.1559
2021-08-08,39222.5513
2021-08-07,38741.3072
2021-08-06,38127.4932
2021-08-05,37631.7694
2021-08-04,37291.6967
2021-08-03,37035.7510
2021-08-02,36912.4564
2021-08-01,36677.1550
2021-07-31,36343.6513
2021-07-30,35804.8957
2021-07-29,35131.0563
2021-07-28,34616.8011
2021-07-27,34048.0897
2021-07-26,33478.6391
2021-07-25,33082.9590
2021-07-24,32841.0578
2021-07-23,32691.8913
2021-07-22,32592.7125
2021-07-21,32624.8054
2021-07-20,32675.3628
2021-07-19,32979.0484
2021-07-18,33204.2482
2021-07-17,33354.3206
2021-07-16,33547.3996
2021-07-15,33775.1396
2021-07-14,33974.6280
2021-07-13,34096.1657
2021-07-12,34239.9968
2021-07-11,34361.4038
2021-07-10,34372.1842
2021-07-09,34463.6910
2021-07-08,34531.8890
2021-07-07,34706.2236
2021-07-06,34795.0766
2021-07-05,34855.6099
2021-07-04,34978.2910
2021-07-03,34945.8468
2021-07-02,34974.9749
2021-07-01,35100.0723
2021-06-30,35268.0073
2021-06-29,35291.4817
2021-06-28,35226.1924
2021-06-27,35303.1716
2021-06-26,35366.6276
2021-06-25,35691.1516
2021-06-24,36123.4359
2021-06-23,36277.1566
2021-06-22,36550.7446
2021-06-21,36976.1325
2021-06-20,37541.1012
2021-06-19,37745.4108
2021-06-18,37983.4835
2021-06-17,38211.2354
2021-06-16,38223.6844
2021-06-15,38210.4922
2021-06-14,38006.9609
2021-06-13,37742.8210
2021-06-12,37608.3211
2021-06-11,37825.3959
2021-06-10,37877.3345
2021-06-09,38003.8202
2021-06-08,38068.6381
2021-06-07,38562.0937
2021-06-06,39089.3888
2021-06-05,39436.0287
2021-06-04,39848.9580
2021-06-03,40166.8483
2021-06-02,40263.6966
2021-06-01,40547.3825
2021-05-31,40953.0975
2021-05-30,41342.4962
2021-05-29,41942.6253
2021-05-28,42714.9911
2021-05-27,43457.2544
2021-05-26,43975.9149
