,MACD,MACD_Hist,MACD_Signal
2021-08-12,2795.8168,450.1853,2345.6315
2021-08-11,2773.7321,540.6468,2233.0852
2021-08-10,2712.9165,614.9930,2097.9235
2021-08-09,2588.2996,644.1243,1944.1753
2021-08-08,2323.5388,540.3946,1783.1442
2021-08-07,2202.1848,554.1392,1648.0456
2021-08-06,1936.0293,426.5185,1509.5108
2021-08-05,1744.8805,341.9994,1402.8811
2021-08-04,1676.5558,359.1745,1317.3813
2021-08-03,1680.9619,453.3742,1227.5876
2021-08-02,1816.5048,702.2607,1114.2441
2021-08-01,1867.2976,928.6187,938.6789
2021-07-31,1833.9365,1127.4122,706.5242
2021-07-30,1600.1022,1175.4311,424.6712
2021-07-29,1202.5628,1071.7494,130.8134
2021-07-28,900.6368,1037.7607,-137.1239
2021-07-27,501.8555,898.4196,-396.5641
2021-07-26,42.7562,663.9252,-621.1690
2021-07-25,-317.7795,469.3708,-787.1503
2021-07-24,-584.2983,320.1947,-904.4930
2021-07-23,-801.6448,182.8969,-984.5417
2021-07-22,-1003.8580,26.4079,-1030.2660
2021-07-21,-1110.2803,-73.4123,-1036.8679
2021-07-20,-1215.3717,-196.8568,-1018.5149
2021-07-19,-1092.1321,-122.8314,-969.3006
2021-07-18,-1025.7858,-87.1930,-938.5928
2021-07-17,-1021.7815,-104.9869,-916.7945
2021-07-16,-975.4892,-84.9414,-890.5478
2021-07-15,-888.3468,-19.0343,-869.3125
2021-07-14,-814.7151,49.8388,-864.5539
2021-07-13,-804.5950,72.4186,-877.0136
2021-07-12,-770.7857,124.3325,-895.1182
2021-07-11,-752.7563,173.4451,-926.2013
2021-07-10,-838.1625,131.4001,-969.5626
2021-07-09,-857.9937,144.4189,-1002.4126
2021-07-08,-902.6886,135.8288,-1038.5174
2021-07-07,-850.8862,221.5884,-1072.4746
2021-07-06,-872.8255,255.0461,-1127.8717
2021-07-05,-924.5721,267.0611,-1191.6332
2021-07-04,-923.2208,335.1777,-1258.3985
2021-07-03,-1070.6069,271.5860,-1342.1929
2021-07-02,-1180.2922,229.7971,-1410.0894
2021-07-01,-1213.2600,254.2787,-1467.5387
2021-06-30,-1208.9929,322.1154,-1531.1083
2021-06-29,-1342.7928,268.8443,-1611.6372
2021-06-28,-1582.2875,96.5608,-1678.8483
2021-06-27,-1720.6946,-17.7062,-1702.9885
2021-06-26,-1893.2427,-194.6808,-1698.5619
2021-06-25,-1839.8757,-189.9840,-1649.8917
2021-06-24,-1673.8070,-71.4113,-1602.3957
2021-06-23,-1750.9581,-166.4152,-1584.5429
2021-06-22,-1723.6696,-180.7305,-1542.9391
2021-06-21,-1544.7924,-47.0360,-1497.7564
2021-06-20,-1202.3098,283.6876,-1485.9974
2021-06-19,-1154.0691,402.8502,-1556.9194
2021-06-18,-1063.8543,593.7776,-1657.6319
2021-06-17,-967.4563,838.6200,-1806.0763
2021-06-16,-1061.7913,953.9401,-2015.7313
2021-06-15,-1192.8222,1061.3941,-2254.2163
2021-06-14,-1525.4820,994.0829,-2519.5648
2021-06-13,-1965.7897,802.2958,-2768.0856
2021-06-12,-2346.8978,621.7617,-2968.6595
2021-06-11,-2445.4303,678.6696,-3124.0999
2021-06-10,-2717.4578,576.3095,-3293.7673
2021-06-09,-2958.3180,479.5268,-3437.8447
2021-06-08,-3295.2412,262.4853,-3557.7264
2021-06-07,-3269.3370,354.0107,-3623.3477
2021-06-06,-3206.2306,505.6198,-3711.8504
2021-06-05,-3307.4789,530.7765,-3838.2554
2021-06-04,-3359.7740,611.1755,-3970.9495
2021-06-03,-3511.6245,612.1188,-4123.7434
2021-06-02,-3900.5378,376.2353,-4276.7731
2021-06-01,-4169.3354,201.4965,-4370.8319
2021-05-31,-4362.6230,58.5831,-4421.2060
