,RSI
2021-08-11,69.9613
2021-08-10,69.7245
2021-08-09,72.5956
2021-08-08,68.1096
2021-08-07,71.5514
2021-08-06,68.2258
2021-08-05,63.7497
2021-08-04,60.7901
2021-08-03,56.3904
2021-08-02,60.2882
2021-08-01,63.3011
2021-07-31,70.9272
2021-07-30,74.7806
2021-07-29,70.3865
2021-07-28,70.4025
2021-07-27,69.2161
2021-07-26,63.9051
2021-07-25,58.3220
2021-07-24,54.3570
2021-07-23,52.0004
2021-07-22,46.4634
2021-07-21,45.8459
2021-07-20,34.2841
2021-07-19,37.6072
2021-07-18,40.9012
2021-07-17,39.5476
2021-07-16,38.8624
2021-07-15,40.4116
2021-07-14,43.4597
2021-07-13,43.0769
2021-07-12,44.1750
2021-07-11,47.8996
2021-07-10,45.1289
2021-07-09,46.0705
2021-07-08,42.7377
2021-07-07,45.4758
2021-07-06,46.4791
2021-07-05,44.8051
2021-07-04,49.1016
2021-07-03,47.2863
2021-07-02,44.6666
2021-07-01,43.8389
2021-06-30,47.4398
2021-06-29,49.5670
2021-06-28,45.8835
2021-06-27,46.3392
2021-06-26,39.8094
2021-06-25,37.7752
2021-06-24,43.8319
2021-06-23,41.0224
2021-06-22,37.5834
2021-06-21,34.8652
2021-06-20,42.4777
2021-06-19,42.1354
2021-06-18,42.8183
2021-06-17,47.6701
2021-06-16,48.2418
2021-06-15,52.3274
2021-06-14,53.1949
2021-06-13,50.1088
2021-06-12,41.8368
2021-06-11,45.4320
2021-06-10,43.7836
2021-06-09,45.1586
2021-06-08,34.3965
2021-06-07,34.6676
2021-06-06,38.3271
2021-06-05,37.5547
2021-06-04,39.7005
2021-06-03,43.9890
2021-06-02,39.7978
2021-06-01,37.5331
2021-05-31,38.3919
2021-05-30,34.3824
2021-05-29,31.7316
2021-05-28,32.9959
2021-05-27,36.6706
2021-05-26,37.6373
2021-05-25,35.6066
2021-05-24,36.1689
2021-05-23,26.7347
2021-05-22,29.4634
2021-05-21,28.9872
2021-05-20,32.3455
2021-05-19,22.5888
2021-05-18,28.7755
2021-05-17,29.6172
2021-05-16,33.4347
2021-05-15,33.8995
2021-05-14,38.5172
2021-05-13,38.0835
2021-05-12,37.9891
2021-05-11,50.7543
2021-05-10,48.8169
2021-05-09,54.4671
2021-05-08,56.0093
2021-05-07,52.9266
2021-05-06,51.0297
2021-05-05,53.2862
2021-05-04,43.9301
2021-05-03,53.2016
2021-05-02,51.7946
2021-05-01,54.9670
2021-04-30,54.7435
2021-04-29,44.8257
2021-04-28,47.8641
2021-04-27,48.2539
2021-04-26,45.7523
2021-04-25,30.5233
2021-04-24,32.1917
2021-04-23,34.0917
2021-04-22,35.1022
2021-04-21,39.0886
2021-04-20,45.0667
2021-04-19,42.6201
2021-04-18,43.8025
2021-04-17,54.2259
2021-04-16,58.6922
2021-04-15,65.5853
2021-04-14,65.1681
2021-04-13,67.5011
2021-04-12,59.3432
2021-04-11,59.8783
2021-04-10,59.3204
2021-04-09,55.2958
2021-04-08,55.1311
2021-04-07,49.4830
2021-04-06,55.7325
2021-04-05,59.6417
2021-04-04,57.3798
2021-04-03,54.4413
2021-04-02,60.8731
2021-04-01,60.3470
2021-03-31,60.4130
2021-03-30,60.4314
2021-03-29,58.2530
2021-03-28,54.3510
2021-03-27,54.4515
2021-03-26,52.8288
2021-03-25,44.1122
2021-03-24,46.2602
2021-03-23,50.9034
2021-03-22,50.3178
2021-03-21,58.5430
2021-03-20,60.6579
2021-03-19,60.5304
2021-03-18,59.8929
2021-03-17,63.0238
2021-03-16,59.9293
2021-03-15,57.8189
2021-03-14,66.2267
2021-03-13,72.7076
2021-03-12,67.4175
2021-03-11,69.1477
2021-03-10,66.3537
2021-03-09,64.8669
2021-03-08,60.6804
2021-03-07,58.0866
2021-03-06,53.8804
2021-03-05,53.6104
2021-03-04,52.8691
2021-03-03,57.3182
2021-03-02,53.8321
2021-03-01,56.4012
2021-02-28,47.3395
2021-02-27,49.4196
2021-02-26,49.7761
2021-02-25,51.3857
2021-02-24,56.9726
2021-02-23,55.6208
2021-02-22,68.9297
2021-02-21,80.3364
2021-02-20,78.7988
2021-02-19,79.0361
2021-02-18,74.1876
2021-02-17,76.3228
2021-02-16,72.4450
2021-02-15,70.6158
2021-02-14,73.0725
2021-02-13,71.0767
2021-02-12,71.5397
2021-02-11,73.8132
2021-02-10,69.6619
2021-02-09,75.3172
2021-02-08,75.2645
2021-02-07,63.1009
2021-02-06,64.6242
2021-02-05,62.7083
2021-02-04,59.6449
2021-02-03,62.0296
2021-02-02,56.9911
2021-02-01,51.6190
2021-01-31,50.3319
2021-01-30,53.9279
2021-01-29,53.9000
2021-01-28,51.6390
2021-01-27,42.8419
2021-01-26,48.5945
2021-01-25,47.9348
2021-01-24,47.9501
2021-01-23,47.4547
2021-01-22,49.5419
2021-01-21,44.0181
2021-01-20,56.7300
2021-01-19,58.1594
2021-01-18,60.6391
2021-01-17,58.8724
2021-01-16,59.3854
2021-01-15,61.6251
2021-01-14,69.4435
2021-01-13,66.5334
2021-01-12,59.8920
2021-01-11,64.7556
2021-01-10,76.4520
2021-01-09,86.7197
2021-01-08,89.5702
2021-01-07,88.7730
2021-01-06,86.5665
2021-01-05,83.3485
2021-01-04,80.3017
2021-01-03,88.0148
2021-01-02,87.0784
2021-01-01,82.7406
2020-12-31,81.9333
2020-12-30,81.8404
2020-12-29,78.6839
2020-12-28,77.9544
2020-12-27,75.9601
2020-12-26,77.6922
2020-12-25,72.8582
2020-12-24,69.4661
2020-12-23,67.5656
2020-12-22,72.4404
2020-12-21,68.4507
2020-12-20,75.2747
2020-12-19,78.9090
2020-12-18,76.8874
2020-12-17,75.9580
2020-12-16,70.8252
2020-12-15,60.6315
2020-12-14,59.5785
2020-12-13,58.9253
2020-12-12,56.4885
2020-12-11,50.7720
2020-12-10,52.5839
2020-12-09,54.9785
2020-12-08,53.4884
2020-12-07,60.7316
2020-12-06,62.5274
2020-12-05,61.3604
2020-12-04,58.5458
2020-12-03,65.4108
2020-12-02,64.3136
2020-12-01,62.0607
2020-11-30,70.8676
2020-11-29,62.9422
2020-11-28,59.8171
2020-11-27,55.4662
2020-11-26,55.5620
2020-11-25,74.3755
2020-11-24,81.5804
2020-11-23,78.0304
2020-11-22,78.8578
2020-11-21,84.0128
2020-11-20,83.8497
2020-11-19,80.5928
2020-11-18,80.4784
2020-11-17,79.9995
2020-11-16,75.4735
2020-11-15,70.5179
2020-11-14,72.5593
2020-11-13,77.1328
2020-11-12,76.9775
2020-11-11,73.4502
2020-11-10,70.8045
2020-11-09,71.3367
2020-11-08,73.7566
2020-11-07,69.4475
2020-11-06,84.3634
2020-11-05,84.5871
2020-11-04,76.1948
2020-11-03,75.1479
2020-11-02,70.3888
2020-11-01,76.4724
2020-10-31,77.3355
2020-10-30,75.3102
2020-10-29,74.3477
2020-10-28,72.5458
2020-10-27,83.1383
2020-10-26,78.5441
2020-10-25,78.3247
2020-10-24,81.0556
2020-10-23,79.5488
2020-10-22,80.9898
2020-10-21,79.5717
2020-10-20,69.8851
2020-10-19,67.2615
2020-10-18,62.5105
2020-10-17,59.3581
2020-10-16,58.4298
2020-10-15,64.6631
2020-10-14,62.9395
2020-10-13,63.0269
2020-10-12,66.4836
2020-10-11,63.7542
2020-10-10,62.4008
2020-10-09,57.7079
2020-10-08,55.0201
2020-10-07,48.7530
2020-10-06,46.9871
2020-10-05,51.7666
2020-10-04,48.6003
2020-10-03,45.2923
2020-10-02,45.9166
2020-10-01,46.9498
2020-09-30,50.3493
2020-09-29,51.7614
2020-09-28,48.7454
2020-09-27,50.3267
2020-09-26,49.4368
2020-09-25,48.6521
2020-09-24,49.4967
2020-09-23,39.8303
2020-09-22,44.4281
2020-09-21,42.0034
2020-09-20,51.3081
2020-09-19,54.9088
2020-09-18,52.0389
2020-09-17,52.1771
2020-09-16,52.4519
2020-09-15,49.4792
2020-09-14,47.4250
2020-09-13,40.7466
2020-09-12,42.3392
2020-09-11,41.2938
2020-09-10,40.3274
2020-09-09,38.1466
2020-09-08,36.4504
2020-09-07,39.1057
2020-09-06,37.0839
2020-09-05,35.5673
2020-09-04,38.2407
2020-09-03,33.1430
2020-09-02,48.2521
2020-09-01,58.9144
2020-08-31,54.1044
2020-08-30,55.4688
2020-08-29,50.8929
2020-08-28,52.1312
2020-08-27,48.3778
2020-08-26,50.8464
2020-08-25,48.1662
2020-08-24,56.8105
2020-08-23,55.0670
2020-08-22,55.3746
2020-08-21,53.2210
2020-08-20,59.7790
2020-08-19,58.3141
2020-08-18,62.3731
2020-08-17,70.4056
2020-08-16,65.9175
2020-08-15,65.1403
2020-08-14,63.9435
2020-08-13,64.3783
2020-08-12,61.6981
2020-08-11,59.4345
2020-08-10,70.7184
2020-08-09,68.3662
2020-08-08,70.3467
2020-08-07,68.5742
2020-08-06,72.6309
2020-08-05,72.4732
2020-08-04,66.8901
2020-08-03,67.5305
2020-08-02,65.9147
2020-08-01,85.2889
2020-07-31,82.1864
2020-07-30,80.2253
2020-07-29,80.2573
2020-07-28,78.5820
2020-07-27,82.7327
2020-07-26,69.4079
2020-07-25,63.9766
2020-07-24,59.2496
2020-07-23,62.3060
2020-07-22,59.8029
2020-07-21,55.6885
2020-07-20,46.6133
2020-07-19,48.5554
2020-07-18,46.9060
2020-07-17,46.2462
2020-07-16,45.4335
2020-07-15,47.5015
2020-07-14,49.4057
2020-07-13,48.9743
2020-07-12,50.8024
2020-07-11,48.7731
2020-07-10,50.2955
2020-07-09,48.7668
2020-07-08,54.4281
2020-07-07,49.6675
2020-07-06,52.1241
2020-07-05,43.9797
2020-07-04,45.7155
2020-07-03,43.2862
2020-07-02,43.9553
2020-07-01,47.4592
2020-06-30,44.8359
2020-06-29,46.0703
2020-06-28,44.0520
2020-06-27,41.2567
2020-06-26,44.2091
2020-06-25,45.9846
2020-06-24,46.9270
2020-06-23,54.1235
2020-06-22,55.5891
2020-06-21,47.0227
2020-06-20,48.4489
2020-06-19,47.3241
2020-06-18,48.8704
2020-06-17,50.4563
2020-06-16,51.6499
2020-06-15,49.8348
2020-06-14,48.3164
2020-06-13,50.5378
2020-06-12,50.4053
2020-06-11,47.4661
2020-06-10,57.8935
2020-06-09,56.2312
2020-06-08,56.4071
