,SMA
2021-08-11,36126.0964
2021-08-10,35862.1130
2021-08-09,35582.5918
2021-08-08,35369.5270
2021-08-07,35203.3140
2021-08-06,35028.2600
2021-08-05,34933.3820
2021-08-04,34883.1130
2021-08-03,34891.5302
2021-08-02,34937.7150
2021-08-01,34935.1700
2021-07-31,34849.1834
2021-07-30,34766.5864
2021-07-29,34655.9734
2021-07-28,34603.4048
2021-07-27,34470.6298
2021-07-26,34352.5282
2021-07-25,34323.7024
2021-07-24,34326.3460
2021-07-23,34377.7632
2021-07-22,34490.0172
2021-07-21,34595.6342
2021-07-20,34686.6058
2021-07-19,34835.8750
2021-07-18,34931.9074
2021-07-17,34988.4392
2021-07-16,35071.3076
2021-07-15,35214.2298
2021-07-14,35361.4680
2021-07-13,35471.5620
2021-07-12,35592.8924
2021-07-11,35624.2648
2021-07-10,35688.0796
2021-07-09,35763.0624
2021-07-08,35897.2790
2021-07-07,35973.5666
2021-07-06,36153.3198
2021-07-05,36339.6804
2021-07-04,36594.5076
2021-07-03,36824.0372
2021-07-02,37127.4836
2021-07-01,37445.1720
2021-06-30,37767.7046
2021-06-29,38200.2050
2021-06-28,38598.2932
2021-06-27,39073.2122
2021-06-26,39556.4464
2021-06-25,40057.0684
2021-06-24,40553.2530
2021-06-23,41008.7134
2021-06-22,41399.1522
2021-06-21,41892.3488
2021-06-20,42391.7344
2021-06-19,42835.7386
2021-06-18,43279.9496
2021-06-17,43634.6528
2021-06-16,43969.7178
2021-06-15,44302.9770
2021-06-14,44580.1240
2021-06-13,44751.1336
2021-06-12,44971.6790
2021-06-11,45283.2596
2021-06-10,45570.4392
2021-06-09,45912.6774
2021-06-08,46293.4164
2021-06-07,46738.4630
2021-06-06,47190.4074
2021-06-05,47674.6144
2021-06-04,48191.0464
2021-06-03,48717.6660
2021-06-02,49191.9208
2021-06-01,49712.0472
2021-05-31,50175.3854
2021-05-30,50630.3578
2021-05-29,51112.9150
2021-05-28,51583.6628
2021-05-27,52031.9434
2021-05-26,52380.4128
2021-05-25,52755.3976
2021-05-24,53171.5030
2021-05-23,53559.6174
2021-05-22,54007.5512
2021-05-21,54437.5568
2021-05-20,54866.9254
2021-05-19,55231.2036
2021-05-18,55672.3332
2021-05-17,55968.0470
2021-05-16,56212.8388
2021-05-15,56400.5516
2021-05-14,56565.8036
2021-05-13,56594.8502
2021-05-12,56647.5038
2021-05-11,56741.6952
2021-05-10,56689.9598
2021-05-09,56720.6682
2021-05-08,56717.8970
2021-05-07,56701.2562
2021-05-06,56707.9244
2021-05-05,56758.3102
2021-05-04,56747.6030
2021-05-03,56795.7068
2021-05-02,56831.6852
2021-05-01,56923.8888
2021-04-30,56912.3158
2021-04-29,56913.8936
2021-04-28,56959.8254
2021-04-27,56960.5910
2021-04-26,56907.8550
2021-04-25,56847.2622
2021-04-24,56843.5708
2021-04-23,56817.6482
2021-04-22,56762.6272
2021-04-21,56735.7954
2021-04-20,56628.8558
2021-04-19,56492.0964
2021-04-18,56282.1468
2021-04-17,56081.2752
2021-04-16,55806.6794
2021-04-15,55521.4580
2021-04-14,55251.7824
2021-04-13,54970.4118
2021-04-12,54780.6652
2021-04-11,54731.6366
2021-04-10,54648.4118
2021-04-09,54571.1492
2021-04-08,54439.3504
2021-04-07,54320.1942
2021-04-06,54183.7942
2021-04-05,53982.1932
2021-04-04,53771.1492
2021-04-03,53550.1828
2021-04-02,53354.8960
2021-04-01,53135.2860
2021-03-31,52857.0288
2021-03-30,52610.6262
2021-03-29,52363.1922
2021-03-28,51986.3966
2021-03-27,51654.5828
2021-03-26,51304.0448
2021-03-25,50942.2662
2021-03-24,50668.7680
2021-03-23,50332.0198
2021-03-22,49915.7294
2021-03-21,49495.9240
2021-03-20,49034.1504
2021-03-19,48557.1488
2021-03-18,48063.8458
2021-03-17,47518.2056
2021-03-16,46989.3016
2021-03-15,46496.3706
2021-03-14,46029.4646
2021-03-13,45491.6584
2021-03-12,44926.7940
2021-03-11,44399.3622
2021-03-10,43953.2636
2021-03-09,43554.0616
2021-03-08,43188.9970
2021-03-07,42858.0658
2021-03-06,42558.5304
2021-03-05,42315.7308
2021-03-04,42123.5866
2021-03-03,41903.5324
2021-03-02,41577.5698
2021-03-01,41316.8462
2021-02-28,41088.1060
2021-02-27,40987.1572
2021-02-26,40876.6848
2021-02-25,40739.7930
2021-02-24,40533.7056
2021-02-23,40219.1722
2021-02-22,39881.1264
2021-02-21,39459.3740
2021-02-20,38954.7692
2021-02-19,38424.5792
2021-02-18,37884.9318
2021-02-17,37431.3906
2021-02-16,36936.6964
2021-02-15,36495.6156
2021-02-14,36063.0268
2021-02-13,35621.3388
2021-02-12,35172.5144
2021-02-11,34701.3464
2021-02-10,34206.6114
2021-02-09,33786.6756
2021-02-08,33312.6614
2021-02-07,32854.2744
2021-02-06,32554.7928
2021-02-05,32233.2018
2021-02-04,31923.3402
2021-02-03,31611.3174
2021-02-02,31247.4686
2021-02-01,30923.6066
2021-01-31,30636.5790
2021-01-30,30350.8932
2021-01-29,30026.3662
2021-01-28,29706.4148
2021-01-27,29409.9432
2021-01-26,29169.1024
2021-01-25,28903.0850
2021-01-24,28645.1890
2021-01-23,28382.9442
2021-01-22,28114.3946
2021-01-21,27843.9292
2021-01-20,27611.0084
2021-01-19,27276.9430
2021-01-18,26953.0306
2021-01-17,26584.1050
2021-01-16,26221.9298
2021-01-15,25844.8206
2021-01-14,25452.9656
2021-01-13,25044.4578
2021-01-12,24680.2304
2021-01-11,24366.5656
2021-01-10,24026.7648
2021-01-09,23637.8404
2021-01-08,23209.1894
2021-01-07,22753.5896
2021-01-06,22320.4664
2021-01-05,21938.2668
2021-01-04,21593.5476
2021-01-03,21272.9134
2021-01-02,20934.3214
2021-01-01,20617.1688
2020-12-31,20356.3722
2020-12-30,20091.5844
2020-12-29,19820.0178
2020-12-28,19578.8860
2020-12-27,19346.7998
2020-12-26,19117.5326
2020-12-25,18899.2632
2020-12-24,18716.8142
2020-12-23,18525.1104
2020-12-22,18340.9258
2020-12-21,18135.6974
2020-12-20,17956.5332
2020-12-19,17763.2428
2020-12-18,17558.0126
2020-12-17,17364.9788
2020-12-16,17174.3636
2020-12-15,17020.3766
2020-12-14,16892.8918
2020-12-13,16768.0056
2020-12-12,16646.7404
2020-12-11,16529.0280
2020-12-10,16427.6678
2020-12-09,16318.1944
2020-12-08,16185.5686
2020-12-07,16054.1158
2020-12-06,15900.8406
2020-12-05,15740.8566
2020-12-04,15584.2898
2020-12-03,15441.3818
2020-12-02,15281.3016
2020-12-01,15125.6310
2020-11-30,14980.8968
2020-11-29,14814.3598
2020-11-28,14676.5244
2020-11-27,14543.1402
2020-11-26,14418.8612
2020-11-25,14289.1996
2020-11-24,14126.8106
2020-11-23,13959.4546
2020-11-22,13805.4272
2020-11-21,13647.9798
2020-11-20,13485.3118
2020-11-19,13324.5810
2020-11-18,13184.0564
2020-11-17,13045.3436
2020-11-16,12906.0784
2020-11-15,12787.2920
2020-11-14,12682.7240
2020-11-13,12575.0484
2020-11-12,12463.3608
2020-11-11,12342.3528
2020-11-10,12239.2602
2020-11-09,12141.6604
2020-11-08,12053.4978
2020-11-07,11965.6088
2020-11-06,11887.9106
2020-11-05,11795.1120
2020-11-04,11702.3918
2020-11-03,11635.2178
2020-11-02,11568.1826
2020-11-01,11503.8518
2020-10-31,11437.4402
2020-10-30,11369.3780
2020-10-29,11304.9134
2020-10-28,11240.1834
2020-10-27,11177.3884
2020-10-26,11112.1338
2020-10-25,11056.2140
2020-10-24,10998.9712
2020-10-23,10945.6616
2020-10-22,10890.0172
2020-10-21,10858.4176
2020-10-20,10841.2378
2020-10-19,10836.0282
