,SlowD,SlowK
2021-08-11,92.0507,91.8404
2021-08-10,92.3556,90.3678
2021-08-09,93.0104,93.9439
2021-08-08,89.6698,92.7549
2021-08-07,83.6228,92.3323
2021-08-06,76.6456,83.9221
2021-08-05,73.1090,74.6141
2021-08-04,75.5636,71.4008
2021-08-03,81.8739,73.3123
2021-08-02,88.9991,81.9778
2021-08-01,93.2261,90.3316
2021-07-31,93.6859,94.6879
2021-07-30,90.2732,94.6587
2021-07-29,87.6811,91.7111
2021-07-28,86.2834,84.4498
2021-07-27,88.4226,86.8825
2021-07-26,84.8632,87.5180
2021-07-25,76.7432,90.8673
2021-07-24,59.5291,76.2042
2021-07-23,42.0294,63.1581
2021-07-22,24.9529,39.2250
2021-07-21,15.9923,23.7051
2021-07-20,12.0028,11.9284
2021-07-19,11.6834,12.3432
2021-07-18,13.2970,11.7367
2021-07-17,16.0985,10.9704
2021-07-16,19.9190,17.1840
2021-07-15,23.8344,20.1412
2021-07-14,28.6342,22.4318
2021-07-13,36.5043,28.9301
2021-07-12,41.5427,34.5406
2021-07-11,47.4317,46.0424
2021-07-10,50.1833,44.0450
2021-07-09,55.8695,52.2078
2021-07-08,61.6797,54.2970
2021-07-07,68.1417,61.1037
2021-07-06,72.4722,69.6383
2021-07-05,70.2755,73.6830
2021-07-04,64.8184,74.0953
2021-07-03,58.8594,63.0482
2021-07-02,56.0739,57.3118
2021-07-01,53.9837,56.2183
2021-06-30,48.6077,54.6917
2021-06-29,41.1586,51.0411
2021-06-28,34.8933,40.0902
2021-06-27,33.5154,32.3445
2021-06-26,35.5400,32.2453
2021-06-25,33.0559,35.9564
2021-06-24,29.9598,38.4184
2021-06-23,27.5794,24.7929
2021-06-22,34.2701,26.6680
2021-06-21,43.0172,31.2772
2021-06-20,53.3097,44.8652
2021-06-19,63.7242,52.9091
2021-06-18,74.3344,62.1550
2021-06-17,84.4720,76.1085
2021-06-16,86.0824,84.7396
2021-06-15,82.6099,92.5678
2021-06-14,73.4542,80.9397
2021-06-13,69.7571,74.3222
2021-06-12,62.6533,65.1007
2021-06-11,51.5555,69.8482
2021-06-10,34.9328,53.0108
2021-06-09,26.2615,31.8075
2021-06-08,30.8151,19.9800
2021-06-07,43.8638,26.9969
2021-06-06,55.8734,45.4684
2021-06-05,60.6706,59.1261
2021-06-04,57.8645,63.0258
